FeatureCode,DateCode,Measurement,Units,Value,Rent and charges
E09000007,2015-2016,LA rents and charges,,122.4,b. Weekly total charges mean
E07000037,2014-2015,LA rents and charges,,72.9,b. Weekly total charges mean
E07000037,2013-2014,LA rents and charges,,68,a. Weekly rent mean
E07000037,2015-2016,LA rents and charges,,68.7,a. Weekly rent mean
E07000037,2014-2015,LA rents and charges,,68.1,a. Weekly rent mean
E07000037,2015-2016,LA rents and charges,,74.5,b. Weekly total charges mean
E07000037,2013-2014,LA rents and charges,,71.4,b. Weekly total charges mean
E07000038,2015-2016,LA rents and charges,,87.9,b. Weekly total charges mean
E07000038,2014-2015,LA rents and charges,,85.7,b. Weekly total charges mean
E07000038,2015-2016,LA rents and charges,,87.9,a. Weekly rent mean
E07000038,2013-2014,LA rents and charges,,79.5,a. Weekly rent mean
E07000038,2014-2015,LA rents and charges,,85.7,a. Weekly rent mean
